sample_name,Species,Genus,Family,Order,Clade,Reference,Sister taxa,tipage_low(mya),tipage_up(mya),node label,age (mya),age range,resource
Osmundaceae_Cladophlebis_wielandi_yale10,Cladophlebis wielandi,Cladophlebis,Osmundaceae,Osmundales,ferns,Osmunda_sp-Osmunda_major,Osmunda,247.2,237,,,,
Cladophlebis xilinhotensis_Dengetal2017,Cladophlebis xilinhotensis,Cladophlebis,Osmundaceae,Osmundales,ferns,Cladophlebis_wielandi,Genus Cladophlebis,201.3,174.1,,,,
Dipteridaceae_Clathropteris_meniscioides_yale11,Clathropteris meniscioides,Clathropteris,Dipteridaceae,Gleicheniales,ferns,Hausmannia_sp-Vandenboschia_radicans,Dipteridaceae,242,201,Dipteridaceae,242,242.0 - 66.00,paleodb
Cordaitaceae_Cordaites_principalis_gbif15,Cordaites principalis,Cordaites,Cordaitaceae,Cordaitanthales,gymnosperms,Torreya_geometrorum-Torreya_californica,Pinales,323.2,298.9,Cordaites,382.7,382.7 - 168.4,paleodb
Cornaceae_Cornus_ovalis_yale12,Cornus ovalis,Cornus,Cornaceae,Cornales,asterids,Genus Cornus,Genus Cornus,33.9,27.82,Cornus,72.1,72.1 -0.01,paleodb
Betulaceae_ Corylus_acutertiaria_yale13,Corylus acutertiaria,Corylus,Betulaceae,Fagales,rosids,Genus Corylus,Genus Corylus,59.2,56,Corylus,66,66.00 - 0.00,paleodb
Betulaceae_Corylus_macquarrii_gbif18,Corylus macquarrii,Corylus,Betulaceae,Fagales,rosids,Genus Corylus,Genus Corylus,65,55,,,,
Cyatheaceae_Cyathea_pinnata_ucmp2,Cyathea pinnata,Cyathea,Cyatheaceae,Cyatheales,ferns,Genus Cyathea,Genus Cyathea,48.6,37.2,Cyathea,237,237.00 - 0.00,paleodb
Cyclopteridaceae_Cyclopteris_trichomanoides_mason3,Cyclopteris trichomanoides,Cyclopteris,Cyclopteridaceae,Medullosales,ferns,Alethopteris_sullivanti-Alethopteris_whitneyi,Cycadales,323.2,298.9,,,,
Cynepteridaceae_Cynepteris_lasiophora_ucmp3,Cynepteris lasiophora,Cynepteris,Cynepteridaceae,Schizaeales,ferns,Cladophlebis_fascinervata-Acrostichites_sp,Osmundales,237,208.5,,,,
Dryopteridaceae_Dryopteris_guyottii_Florissant_CU_0616_crop,Dryopteris guyottii,Dryopteris ,Dryopteridaceae,Polypodiales,ferns,Genus Dryopteris,Genus Dryopteris,34,34,,,,
Eboracia lobifolia_Dengetal2017,Eboracia lobifolia,Eboracia,Dicksoniaceae,Cyatheales,ferns,Dicksonia_antarctica-Dicksonia_squarrosa,Dicksoniaceae,201.3,174.1,Dicksoniaceae,,,
Fagaceae_Fagopsis_longifolia_Florissant_FLFO_003589B_crop,Fagopsis longifolia,Fagus ,Fagaceae,Fagales,rosids,Castaneophyllum_patagonicum,Castaneophyllum,37.2,33.9,,259,259.00 - 0.00,paleodb
Moraceae_Ficus_artocarpoides_yale14,Ficus artocarpoides,Ficus,Moraceae,Rosales,rosids,Flabellaria,Flabellaria,72.1,66,Ficus,105.3,105.3 - 0.12,paleodb
Arecaceae_Flabellaria_gargasensis_gbif8,Flabellaria gargasensis,Flabellaria,Arecaceae,Arecales,monocots,Iriartea_deltoidea,Iriartea,83.5,23.03,,,,
Arecaceae_Flabellaria_libigiosa_gbif11,Flabellaria libigiosa,Flabellaria,Arecaceae,Arecales,monocots,Flabellaria_gargasensis,Genus Flabellaria,83.5,23.03,,,,
Ginkogoaceae_Ginkgo_adiantoides_yale15,Ginkgo adiantoides ,Ginkgo,Ginkgoaceae,Ginkgoales,gymnosperms,Genus Ginkgo,Genus Ginkgo,113,100.5,,,,
fossil1,Ginkgo cranei,Ginkgo,Ginkgoaceae,Ginkgoales,gymnosperms,Genus Ginkgo,Genus Ginkgo,59.2,56,,,,
fossil2,Ginkgo gardneri,Ginkgo,Ginkgoaceae,Ginkgoales,gymnosperms,Genus Ginkgo,Genus Ginkgo,66,56,,,,
Ginkgoites sp_Dengetal2017,Ginkgoites sp.1,Ginkgoites,Ginkgoaceae,Ginkgoales,gymnosperms,Ginkgoites_sp2,Genus Ginkgoites,201.3,174.1,,,,
Ginkgoaceae_Ginkgoites_sp_MfN_gbif3,Ginkgoites sp.2,Ginkgoites,Ginkgoaceae,Ginkgoales,gymnosperms,Ginkgo_adiantoides-Ginkgo_gardneri,Ginkgo,237,120,,,,
Hausmannia_leeiana_Dengetal2017,Hausmannia leeiana,Hausmannia,Dipteridaceae,Gleicheniales,ferns,Dipteris_lobbiana,Dipteris,201.3,174.1,,,,
Hausmannia sp_Na2017,Hausmannia sp,Hausmannia,Dipteridaceae,Gleicheniales,ferns,Hausmannia_leeiana,Genus Hausmannia,174.1,163.5,,,,
Hausmannia_ussuriensis_Dengetal2017,Hausmannia ussuriensis,Hausmannia,Dipteridaceae,Gleicheniales,ferns,Hausmannia_leeiana,Genus Hausmannia,201.3,174.1,,,,
Cyatheaceae_Hemitelites_longaevus_gbif13,Hemitelites longaevus ,Hemitelites,Cyatheaceae,Cyatheales,ferns,Cyathea_fulva-Alsophila_notabilis,Cyatheaceae,59.2,56,,,,
Jacutiella denticulata_Pott2017,Jacutiella denticulata,Jacutiella,NA,Cycadales,gymnosperms,Ginkgoites_sp1-Ginkgo_gardneri,Ginkgophyta,161.5,145,,,,
Rosaceae_Kerria_antiqua_yale16,Kerria antiqua,Kerria,Rosaceae,Rosales,rosids,Prunus_gracilis-Hesperomeles_heterophylla,Rosaceae,37.71,33.9,,,,
Sapindaceae_Koelreuteria_bipinnatoides_yale17,Koelreuteria bipinnatoides,Koelreuteria,Sapindaceae,Sapidanles,rosids,Acer_pentaphyllum-Ungnadia_speciosa,Sapindaceae,33.9,27.82,,,,
Hamamelidaceae_Leepierceia_preartocarpoides_yale18,Leepierceia preartocarpoides,Leepierceia,Hamamelidaceae,Saxifragales,basal eudicots,Anceptophyllum_pulcrum,Anceptophyllum,72.1,66,,,,
Proteaceae_Lomatia_preferruginea_MPEF-Pb_LH15(2009)-0376b_crop,Lomatia preferruginea,Lomatia,Proteaceae,Proteales,basal angiosperms,Telopea_truncata-Banksia_verticiliata,Proteaceae,55.8,48.6,Proteaceae,105.3,105.3 - 0.00,paleodb
Lygodiaceae_Lygodium_kaulfussi_yale20,Lygodium kaulfussi ,Lygodium,Lygodiaceae,Schizaeales,ferns,Genus Lygodium,Genus Lygodium,55.8,33.9,,,,
Marattiopsis patagonica_Escapa et al2013,Marattiopsis patagonica,Escapa,Marattiaceae,Marattiales,ferns,Angiopteris_evecta,Marattiaceae,201.3,174.1,,,,
